from,to,cost
20,8,1417.699187584698
8,24,2043.1870672334335
24,8,2043.1870672334335
8,49,2906.5314267472518
49,8,2906.5314267472518
8,2,2518.309889790077
2,8,2518.309889790077
8,48,2997.313250705589
48,8,2997.313250705589
8,34,2148.5450506606494
34,8,2148.5450506606494
8,19,1679.5240285254822
19,8,1679.5240285254822
8,46,2183.8358976727463
46,8,2183.8358976727463
8,44,2751.7794091029295
44,8,2751.7794091029295
8,33,3172.260504637961
33,8,3172.260504637961
8,39,2150.088742407497
39,8,2150.088742407497
8,15,972.4692823636937
15,8,972.4692823636937
8,35,1741.8163955634718
35,8,1741.8163955634718
8,36,1402.441581111477
36,8,1402.441581111477
8,40,2182.9736896147647
40,8,2182.9736896147647
8,38,1529.5576538342673
38,8,1529.5576538342673
8,42,2345.7220433285943
42,8,2345.7220433285943
47,45,1224.7106002013218
45,47,1224.7106002013218
47,32,2474.3727690159512
32,47,2474.3727690159512
47,30,3131.762735768926
30,47,3131.762735768926
47,18,4598.7180434898955
18,47,4598.7180434898955
47,37,2346.1262125355115
37,47,2346.1262125355115
47,14,3307.1717142224607
14,47,3307.1717142224607
47,22,3366.0650060988173
22,47,3366.0650060988173
47,16,3759.4336276751224
16,47,3759.4336276751224
47,9,2016.1783652519894
9,47,2016.1783652519894
47,21,3386.928136944686
21,47,3386.928136944686
47,17,2732.8520499961924
17,47,2732.8520499961924
47,10,1811.1596835621208
10,47,1811.1596835621208
47,29,3183.5671889533087
29,47,3183.5671889533087
47,28,3665.9727396362337
28,47,3665.9727396362337
47,31,2774.7298938874706
31,47,2774.7298938874706
47,11,1254.9421909452783
11,47,1254.9421909452783
47,26,4086.3584727847187
26,47,4086.3584727847187
47,12,2249.681479693432
12,47,2249.681479693432
47,13,2908.833845935754
13,47,2908.833845935754
47,25,3461.3238715782863
25,47,3461.3238715782863
47,41,1557.625278379205
41,47,1557.625278379205
47,3,1384.3847701432924
3,47,1384.3847701432924
47,1,1456.1615426926771
1,47,1456.1615426926771
47,43,864.8918230796572
43,47,864.8918230796572
47,23,3760.877328045495
23,47,3760.877328045495
47,20,3829.0503604356513
20,47,3829.0503604356513
47,24,4391.740360552741
24,47,4391.740360552741
47,49,448.6906092023458
49,47,448.6906092023458
47,2,1804.6552573159988
2,47,1804.6552573159988
47,48,429.65235104260177
48,47,429.65235104260177
47,34,2477.4135729771624
34,47,2477.4135729771624
47,19,4216.0398710545705
19,47,4216.0398710545705
47,46,540.7193363667925
46,47,540.7193363667925
47,44,745.4284570023668
44,47,745.4284570023668
47,33,2279.8494786174288
33,47,2279.8494786174288
47,39,2079.827234463048
39,47,2079.827234463048
47,15,3536.943177148958
15,47,3536.943177148958
47,35,2591.607752464778
35,47,2591.607752464778
47,36,2544.142486831476
36,47,2544.142486831476
47,40,1629.000745108155
40,47,1629.000745108155
47,38,2230.6475201274434
38,47,2230.6475201274434
47,42,1162.0148223327808
42,47,1162.0148223327808
45,32,1565.509789871464
32,45,1565.509789871464
45,30,1958.0531060337353
30,45,1958.0531060337353
45,18,3546.9840540321784
18,45,3546.9840540321784
45,37,1121.5837204750499
37,45,1121.5837204750499
45,14,2324.0742869152755
14,45,2324.0742869152755
45,22,2171.214567777413
22,45,2171.214567777413
45,16,2714.5467526178013
16,45,2714.5467526178013
45,9,964.9697022908432
9,45,964.9697022908432
45,21,2225.850947396891
21,45,2225.850947396891
45,17,1562.118604736055
17,45,1562.118604736055
45,10,691.2924645624873
10,45,691.2924645624873
45,29,1973.6040545219719
29,45,1973.6040545219719
45,28,2449.296470400987
28,45,2449.296470400987
45,31,1688.6656499478545
31,45,1688.6656499478545
45,11,428.8963444704736
